company,year,new_grads_hired,notes,source
Rakuten,2020,530,エンジニア約200名含む,Annual Report
Rakuten,2021,600,エンジニア約250名含む,Annual Report
Rakuten,2022,650,エンジニア約300名含む,Press Release
Rakuten,2023,700,エンジニア職約320名含む,Career Page
CyberAgent,2020,417,新卒採用実績,Press Release
CyberAgent,2021,450,新卒採用実績,Career Page
CyberAgent,2022,483,エンジニア職約200名含む,IR Report
DeNA,2020,215,技術職約100名含む,IR Report
DeNA,2021,230,技術職中心,Press Release
LINE,2020,300,エンジニア中心,Career Page
LINE,2021,350,エンジニア職約60%,IR Report
SoftBank,2020,1200,グループ全体,Annual Report
SoftBank,2021,1300,グループ全体、エンジニア約40%,Press Release
NTT Data,2020,378,技術系約280名,Annual Report
NTT Data,2021,402,技術系約300名,Press Release
Fujitsu,2020,800,デジタル人材中心,Annual Report
Fujitsu,2021,750,デジタル人材約500名,IR Report
